% Edge sensor logfile log_20240301_171536.564/log_edge.txt
% 	Calib white 198 345 561 652 714 726 681 594
% 	Calib black 106 125 123 105 109 117 111 105
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1709309739.0705 1 0.022 -0.010 0.0316
1709309739.0786 1 0.023 -0.009 0.0317
1709309739.0871 1 0.024 -0.007 0.0313
1709309739.0944 1 0.026 -0.007 0.0332
1709309739.1026 1 0.026 -0.006 0.0317
1709309739.1109 1 0.026 -0.004 0.0306
1709309739.1187 1 0.027 -0.004 0.0316
1709309739.1269 1 0.027 -0.004 0.0312
1709309739.1349 1 0.028 -0.003 0.0308
1709309739.1424 1 0.029 -0.002 0.0307
1709309739.1506 1 0.031 -0.002 0.0322
1709309739.1589 1 0.031 -0.001 0.0329
1709309739.1671 1 0.032 -0.001 0.0327
1709309739.1754 1 0.035 -0.001 0.0352
1709309739.1825 1 0.036 -0.000 0.0358
1709309739.1910 1 0.038 0.001 0.0374
1709309739.1993 1 0.041 0.001 0.0399
1709309739.2065 1 0.041 0.001 0.0400
1709309739.2154 1 0.045 0.002 0.0431
1709309739.2234 1 0.047 0.002 0.0452
1709309739.2309 1 0.047 0.003 0.0442
1709309739.2394 1 0.048 0.004 0.0438
1709309739.2468 1 0.048 0.004 0.0438
1709309739.2551 1 0.048 0.005 0.0431
1709309739.2632 1 0.048 0.005 0.0427
1709309739.2709 1 0.048 0.006 0.0423
1709309739.2784 1 0.048 0.006 0.0423
1709309739.2864 1 0.048 0.006 0.0416
1709309739.2943 1 0.048 0.007 0.0414
1709309739.3027 1 0.048 0.007 0.0410
1709309739.3108 1 0.048 0.008 0.0403
1709309739.3192 1 0.048 0.007 0.0408
1709309739.3265 1 0.048 0.008 0.0401
1709309739.3344 1 0.048 0.008 0.0397
1709309739.3426 1 0.048 0.009 0.0391
1709309739.3510 1 0.048 0.009 0.0394
1709309739.3589 1 0.048 0.011 0.0374
1709309739.3672 1 0.048 0.011 0.0375
1709309739.3744 1 0.049 0.011 0.0379
1709309739.3833 1 0.049 0.011 0.0374
1709309739.3905 1 0.049 0.012 0.0369
1709309739.3990 1 0.049 0.012 0.0363
1709309739.4067 1 0.049 0.012 0.0366
1709309739.4151 1 0.049 0.012 0.0367
1709309739.4225 1 0.049 0.013 0.0362
1709309739.4304 1 0.049 0.013 0.0363
1709309739.4395 1 0.049 0.013 0.0357
1709309739.4470 1 0.049 0.013 0.0367
1709309739.4552 1 0.049 0.013 0.0360
1709309739.4626 1 0.049 0.013 0.0360
1709309739.4709 1 0.050 0.012 0.0383
1709309739.4788 1 0.049 0.013 0.0361
1709309739.4871 1 0.049 0.013 0.0363
1709309739.4950 1 0.048 0.012 0.0368
1709309739.5029 1 0.049 0.012 0.0376
1709309739.5112 1 0.049 0.012 0.0376
1709309739.5185 1 0.049 0.011 0.0377
1709309739.5264 1 0.048 0.010 0.0376
1709309739.5348 1 0.048 0.010 0.0378
1709309739.5427 1 0.048 0.011 0.0368
