% Edge sensor logfile normalized 'log_20240301_170042.319/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709308844.3848 0 736 1000 948 330 0 0 0  0.0420
1709308844.3932 0 713 1000 1000 371 0 0 0  0.0428
1709308844.4015 0 681 1000 1000 400 0 0 0  0.0418
1709308844.4096 0 568 1000 1000 419 0 0 0  0.0379
1709308844.4168 0 518 1000 1000 451 0 0 0  0.0372
1709308844.4251 0 459 1000 1000 490 0 0 0  0.0367
1709308844.4334 0 372 977 1000 502 0 0 0  0.0353
1709308844.4407 0 290 961 1000 535 0 0 0  0.0349
1709308844.4491 0 222 924 1000 571 0 0 0  0.0346
1709308844.4570 0 122 878 1000 601 14 0 0  0.0341
1709308844.4652 0 81 849 1000 621 55 0 0  0.0340
1709308844.4735 0 18 833 1000 636 52 0 0  0.0341
1709308844.4816 0 0 817 1000 657 68 0 0  0.0346
1709308844.4893 0 0 753 1000 664 88 0 0  0.0337
1709308844.4966 0 0 757 1000 685 103 0 0  0.0348
1709308844.5055 0 0 744 1000 699 113 0 0  0.0352
1709308844.5127 0 0 703 1000 685 103 0 0  0.0335
1709308844.5210 0 0 703 1000 709 103 0 0  0.0346
1709308844.5289 0 0 705 1000 730 136 0 0  0.0353
1709308844.5368 0 0 652 1000 705 128 0 0  0.0321
1709308844.5454 0 0 664 1000 725 146 0 0  0.0332
1709308844.5532 0 0 666 1000 742 152 0 0  0.0338
1709308844.5615 0 0 646 1000 720 141 0 0  0.0323
1709308844.5687 0 0 659 1000 720 142 0 0  0.0328
1709308844.5776 0 0 682 1000 719 141 0 0  0.0339
1709308844.5848 0 0 687 1000 699 131 0 0  0.0335
1709308844.5932 0 0 726 1000 700 133 0 0  0.0349
1709308844.6011 0 0 751 1000 680 96 0 0  0.0344
1709308844.6092 0 0 730 1000 641 77 0 0  0.0322
1709308844.6177 0 0 778 1000 628 62 0 0  0.0327
1709308844.6256 0 36 817 1000 608 55 0 0  0.0328
1709308844.6336 0 59 812 1000 593 31 0 0  0.0323
1709308844.6409 0 127 851 1000 570 13 0 0  0.0327
1709308844.6493 0 163 890 1000 563 8 0 0  0.0334
1709308844.6576 0 209 899 1000 527 0 0 0  0.0330
1709308844.6649 0 195 894 1000 487 0 0 0  0.0319
1709308844.6729 0 309 958 1000 484 0 0 0  0.0339
1709308844.6814 0 409 1000 1000 454 0 0 0  0.0353
1709308844.6894 0 472 1000 1000 404 0 0 0  0.0355
1709308844.6971 0 540 1000 1000 391 0 0 0  0.0368
1709308844.7054 0 613 1000 998 375 0 0 0  0.0386
1709308844.7136 0 690 1000 939 342 0 0 0  0.0406
1709308844.7213 0 786 1000 930 314 0 0 0  0.0426
1709308844.7295 0 859 1000 901 290 0 0 0  0.0431
1709308844.7372 0 927 1000 864 261 0 0 0  0.0431
1709308844.7447 0 1000 1000 859 233 0 0 0  0.0438
1709308844.7529 0 1000 1000 840 223 0 0 0  0.0433
1709308844.7611 0 1000 1000 815 206 0 0 0  0.0427
1709308844.7689 0 1000 1000 800 180 0 0 0  0.0422
1709308844.7770 0 1000 1000 793 175 0 0 0  0.0420
1709308844.7848 0 1000 1000 756 142 0 0 0  0.0410
1709308844.7933 0 1000 1000 722 120 0 0 0  0.0401
1709308844.8015 32 1000 1000 723 105 0 0 0  0.0402
1709308844.8086 0 1000 1000 663 71 0 0 0  0.0375
1709308844.8174 173 1000 1000 643 49 0 0 0  0.0378
1709308844.8256 250 1000 1000 617 41 0 0 0  0.0374
1709308844.8343 315 1000 1000 575 13 0 0 0  0.0368
1709308844.8408 521 1000 1000 561 0 0 0 0  0.0396
1709308844.8490 565 1000 1000 561 0 0 0 0  0.0407
1709308844.8572 521 1000 1000 521 0 0 0 0  0.0386
1709308844.8649 608 1000 1000 510 0 0 0 0  0.0408
1709308844.8730 706 1000 1000 497 0 0 0 0  0.0445
1709308844.8807 739 1000 1000 502 0 0 0 0  0.0446
1709308844.8893 750 1000 1000 478 0 0 0 0  0.0441
1709308844.8974 793 1000 1000 488 0 0 0 0  0.0443
1709308844.9055 902 1000 1000 488 0 0 0 0  0.0443
1709308844.9133 902 1000 1000 457 0 0 0 0  0.0438
1709308844.9212 945 1000 1000 435 0 0 0 0  0.0434
1709308844.9294 1000 1000 1000 458 0 0 0 0  0.0438
1709308844.9366 989 1000 1000 466 0 0 0 0  0.0439
1709308844.9447 945 1000 1000 435 0 0 0 0  0.0434
1709308844.9529 1000 1000 1000 442 0 0 0 0  0.0435
1709308844.9617 967 1000 1000 457 0 0 0 0  0.0438
1709308844.9696 1000 1000 1000 473 0 0 0 0  0.0440
1709308844.9768 869 1000 1000 499 0 0 0 0  0.0446
1709308844.9852 793 1000 1000 499 0 0 0 0  0.0446
1709308844.9934 760 1000 1000 513 0 0 0 0  0.0448
1709308845.0016 815 1000 1000 539 0 0 0 0  0.0454
1709308845.0093 619 1000 1000 548 0 0 0 0  0.0420
1709308845.0174 543 1000 1000 566 0 0 0 0  0.0402
1709308845.0256 445 1000 1000 570 0 0 0 0  0.0384
1709308845.0341 271 1000 1000 608 3 0 0 0  0.0373
1709308845.0412 152 1000 1000 601 18 0 0 0  0.0361
1709308845.0494 173 1000 1000 643 44 0 0 0  0.0378
1709308845.0570 54 1000 1000 665 57 0 0 0  0.0379
1709308845.0652 0 1000 1000 667 72 0 0 0  0.0377
1709308845.0734 0 1000 1000 711 94 0 0 0  0.0397
1709308845.0812 0 1000 1000 751 128 0 0 0  0.0408
1709308845.0891 0 1000 1000 751 137 0 0 0  0.0409
1709308845.0973 0 1000 1000 804 181 0 0 0  0.0423
1709308845.1048 0 1000 1000 819 198 0 0 0  0.0427
1709308845.1130 0 1000 1000 840 221 0 0 0  0.0433
1709308845.1212 0 1000 1000 897 267 0 0 0  0.0448
