% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709309484.2529 3175 3293 16 15
1709309484.2578 3191 3304 16 11
1709309484.2654 3209 3314 18 10
1709309484.2743 3227 3326 18 12
1709309484.2814 3248 3338 21 12
1709309484.2892 3268 3351 20 13
1709309484.2997 3288 3363 20 12
1709309484.3054 3305 3376 17 13
1709309484.3131 3327 3388 22 12
1709309484.3218 3342 3400 15 12
1709309484.3288 3360 3409 18 9
1709309484.3375 3379 3427 19 18
1709309484.3465 3397 3440 18 13
1709309484.3537 3415 3449 18 9
1709309484.3614 3434 3457 19 8
1709309484.3703 3452 3474 18 17
1709309484.3768 3471 3489 19 15
1709309484.3856 3492 3505 21 16
1709309484.3933 3505 3512 13 7
1709309484.4016 3526 3525 21 13
1709309484.4094 3544 3541 18 16
1709309484.4183 3562 3555 18 14
1709309484.4248 3581 3569 19 14
1709309484.4337 3600 3582 19 13
1709309484.4413 3616 3594 16 12
1709309484.4496 3632 3606 16 12
1709309484.4574 3649 3623 17 17
1709309484.4660 3667 3638 18 15
1709309484.4736 3684 3652 17 14
1709309484.4816 3702 3665 18 13
1709309484.4900 3719 3684 17 19
1709309484.4972 3735 3699 16 15
1709309484.5051 3748 3713 13 14
1709309484.5139 3765 3729 17 16
1709309484.5217 3782 3748 17 19
1709309484.5297 3799 3766 17 18
1709309484.5378 3814 3780 15 14
1709309484.5456 3826 3795 12 15
1709309484.5529 3840 3815 14 20
1709309484.5618 3854 3832 14 17
1709309484.5695 3866 3848 12 16
1709309484.5772 3880 3869 14 21
1709309484.5861 3896 3888 16 19
1709309484.5937 3912 3901 16 13
1709309484.6009 3923 3917 11 16
1709309484.6098 3935 3935 12 18
1709309484.6175 3946 3953 11 18
1709309484.6255 3958 3974 12 21
1709309484.6335 3973 3994 15 20
1709309484.6414 3987 4012 14 18
1709309484.6491 4001 4033 14 21
1709309484.6581 4013 4048 12 15
1709309484.6657 4023 4065 10 17
1709309484.6735 4034 4087 11 22
1709309484.6815 4045 4113 11 26
1709309484.6891 4055 4127 10 14
1709309484.6967 4066 4143 11 16
1709309484.7066 4078 4159 12 16
1709309484.7132 4090 4179 12 20
1709309484.7212 4103 4206 13 27
1709309484.7302 4115 4224 12 18
1709309484.7369 4127 4240 12 16
1709309484.7447 4139 4259 12 19
1709309484.7541 4150 4280 11 21
1709309484.7617 4161 4302 11 22
1709309484.7695 4177 4324 16 22
1709309484.7772 4190 4343 13 19
1709309484.7850 4202 4358 12 15
1709309484.7929 4214 4374 12 16
1709309484.8022 4229 4394 15 20
1709309484.8088 4242 4413 13 19
1709309484.8167 4253 4427 11 14
1709309484.8260 4266 4445 13 18
1709309484.8336 4280 4465 14 20
1709309484.8415 4297 4485 17 20
1709309484.8498 4311 4500 14 15
1709309484.8572 4324 4513 13 13
1709309484.8657 4336 4532 12 19
1709309484.8740 4349 4552 13 20
1709309484.8809 4362 4572 13 20
1709309484.8887 4378 4587 16 15
1709309484.8983 4392 4603 14 16
1709309484.9049 4405 4619 13 16
1709309484.9128 4421 4637 16 18
1709309484.9218 4437 4653 16 16
1709309484.9294 4452 4670 15 17
1709309484.9372 4469 4686 17 16
1709309484.9462 4488 4700 19 14
1709309484.9534 4504 4713 16 13
1709309484.9612 4520 4731 16 18
1709309484.9701 4539 4746 19 15
1709309484.9775 4555 4756 16 10
1709309484.9854 4572 4767 17 11
1709309484.9940 4592 4786 20 19
1709309485.0013 4610 4797 18 11
1709309485.0092 4626 4809 16 12
1709309485.0183 4646 4826 20 17
1709309485.0257 4665 4841 19 15
1709309485.0327 4682 4854 17 13
1709309485.0417 4700 4865 18 11
1709309485.0489 4717 4879 17 14
1709309485.0568 4733 4893 16 14
1709309485.0670 4750 4904 17 11
1709309485.0737 4769 4918 19 14
1709309485.0817 4787 4931 18 13
1709309485.0897 4803 4943 16 12
1709309485.0968 4822 4953 19 10
1709309485.1052 4844 4965 22 12
1709309485.1139 4863 4978 19 13
1709309485.1215 4883 4989 20 11
1709309485.1293 4907 4998 24 9
1709309485.1382 4924 5012 17 14
1709309485.1447 4941 5028 17 16
1709309485.1531 4960 5042 19 14
1709309485.1618 4978 5051 18 9
1709309485.1695 4998 5063 20 12
1709309485.1773 5016 5075 18 12
1709309485.1862 5032 5090 16 15
1709309485.1927 5049 5104 17 14
1709309485.2013 5067 5119 18 15
1709309485.2101 5083 5130 16 11
1709309485.2177 5102 5142 19 12
1709309485.2255 5121 5157 19 15
1709309485.2332 5142 5172 21 15
1709309485.2409 5156 5189 14 17
1709309485.2490 5168 5201 12 12
1709309485.2579 5184 5211 16 10
1709309485.2655 5202 5227 18 16
1709309485.2735 5219 5247 17 20
1709309485.2813 5233 5264 14 17
1709309485.2889 5247 5278 14 14
1709309485.2971 5263 5292 16 14
1709309485.3060 5279 5310 16 18
1709309485.3136 5293 5334 14 24
1709309485.3214 5308 5348 15 14
1709309485.3302 5325 5359 17 11
1709309485.3366 5342 5374 17 15
1709309485.3455 5355 5392 13 18
1709309485.3533 5367 5408 12 16
1709309485.3609 5383 5428 16 20
1709309485.3687 5400 5448 17 20
1709309485.3779 5414 5462 14 14
1709309485.3856 5429 5477 15 15
1709309485.3935 5442 5496 13 19
1709309485.4022 5453 5516 11 20
1709309485.4087 5465 5535 12 19
1709309485.4175 5479 5550 14 15
1709309485.4265 5492 5565 13 15
1709309485.4331 5501 5588 9 23
1709309485.4409 5513 5613 12 25
1709309485.4501 5524 5624 11 11
1709309485.4577 5537 5639 13 15
1709309485.4647 5549 5662 12 23
1709309485.4732 5561 5683 12 21
1709309485.4809 5572 5702 11 19
1709309485.4890 5586 5720 14 18
1709309485.4976 5598 5740 12 20
1709309485.5055 5610 5755 12 15
1709309485.5134 5620 5775 10 20
1709309485.5223 5632 5800 12 25
1709309485.5289 5644 5818 12 18
1709309485.5367 5659 5837 15 19
1709309485.5456 5670 5853 11 16
1709309485.5528 5681 5878 11 25
1709309485.5617 5695 5899 14 21
1709309485.5699 5710 5912 15 13
1709309485.5776 5723 5929 13 17
1709309485.5854 5736 5951 13 22
1709309485.5943 5748 5967 12 16
1709309485.6018 5760 5980 12 13
1709309485.6088 5775 6001 15 21
1709309485.6176 5790 6022 15 21
1709309485.6255 5802 6041 12 19
1709309485.6333 5815 6057 13 16
1709309485.6422 5828 6074 13 17
1709309485.6494 5840 6089 12 15
1709309485.6575 5855 6109 15 20
1709309485.6654 5871 6130 16 21
1709309485.6732 5892 6141 21 11
1709309485.6810 5906 6156 14 15
1709309485.6901 5915 6176 9 20
1709309485.6969 5926 6192 11 16
1709309485.7052 5942 6211 16 19
1709309485.7141 5960 6224 18 13
1709309485.7211 5977 6236 17 12
1709309485.7289 5992 6256 15 20
1709309485.7378 6007 6275 15 19
1709309485.7454 6025 6288 18 13
1709309485.7532 6041 6303 16 15
1709309485.7620 6058 6318 17 15
1709309485.7687 6073 6333 15 15
