% Mission PlanIRTEST logfile
% 1 	Time (sec)
% 2 	Mission state
% 3 	% Mission status (mostly for debug)
1709308528.2048 1 % No Line
1709308528.2090 1 % No Line
1709308528.2131 1 % No Line
1709308528.2172 1 % No Line
1709308528.2213 1 % No Line
1709308528.2255 1 % No Line
1709308528.2296 1 % No Line
1709308528.2337 1 % No Line
1709308528.2378 1 % No Line
1709308528.2420 1 % No Line
1709308528.2462 1 % No Line
1709308528.2505 1 % No Line
1709308528.2553 1 % No Line
1709308528.2595 1 % No Line
1709308528.2636 1 % No Line
1709308528.2678 1 % No Line
1709308528.2719 1 % No Line
1709308528.2760 1 % No Line
1709308528.2802 1 % No Line
1709308528.2844 1 % No Line
1709308528.2885 1 % No Line
1709308528.2927 1 % No Line
1709308528.2968 1 % No Line
1709308528.3010 1 % No Line
1709308528.3051 1 % No Line
1709308528.3092 1 % No Line
1709308528.3134 1 % No Line
1709308528.3175 1 % No Line
1709308528.3217 1 % No Line
1709308528.3259 1 % No Line
1709308528.3300 1 % No Line
1709308528.3341 1 % No Line
1709308528.3383 1 % No Line
1709308528.3424 1 % No Line
1709308528.3465 1 % No Line
1709308528.3507 1 % No Line
1709308528.3548 1 % No Line
1709308528.3589 1 % No Line
1709308528.3631 1 % No Line
1709308528.3673 1 % No Line
1709308528.3714 1 % No Line
1709308528.3756 1 % No Line
1709308528.3797 1 % No Line
1709308528.3838 1 % No Line
1709308528.3879 1 % No Line
1709308528.3921 1 % No Line
1709308528.3962 1 % No Line
1709308528.4003 1 % No Line
1709308528.4045 1 % No Line
1709308528.4086 1 % No Line
1709308528.4127 1 % No Line
1709308528.4168 1 % No Line
1709308528.4210 1 % No Line
1709308528.4251 1 % No Line
1709308528.4292 1 % No Line
1709308528.4333 1 % No Line
1709308528.4374 1 % No Line
1709308528.4416 1 % No Line
1709308528.4458 1 % No Line
1709308528.4499 1 % No Line
1709308528.4540 1 % No Line
1709308528.4582 1 % No Line
1709308528.4623 1 % No Line
1709308528.4664 1 % No Line
1709308528.4705 1 % No Line
1709308528.4747 1 % No Line
1709308528.4788 1 % No Line
1709308528.4830 1 % No Line
1709308528.4871 1 % No Line
1709308528.4914 1 % No Line
